I, [2017-01-26T09:25:45.338447 #63727]  INFO -- Kitchen: -----> Starting Kitchen (v1.15.0)
E, [2017-01-26T09:25:45.338815 #63727] ERROR -- Kitchen: ------Exception-------
E, [2017-01-26T09:25:45.338848 #63727] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-01-26T09:25:45.338863 #63727] ERROR -- Kitchen: Message: Kitchen YAML file /Users/ahelal/GDrive/Projects/ansible-docker-ci/.kitchen.yml does not exist.
E, [2017-01-26T09:25:45.338876 #63727] ERROR -- Kitchen: ----------------------
E, [2017-01-26T09:25:45.338887 #63727] ERROR -- Kitchen: ------Backtrace-------
E, [2017-01-26T09:25:45.338897 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-01-26T09:25:45.338907 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:152:in `data'
E, [2017-01-26T09:25:45.338941 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:131:in `suites'
E, [2017-01-26T09:25:45.338956 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-01-26T09:25:45.338967 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-01-26T09:25:45.338978 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:117:in `instances'
E, [2017-01-26T09:25:45.338992 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-01-26T09:25:45.339006 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-01-26T09:25:45.339017 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2017-01-26T09:25:45.339028 #63727] ERROR -- Kitchen: /usr/local/Cellar/ruby/2.3.3/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-01-26T09:25:45.339039 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command/action.rb:34:in `call'
E, [2017-01-26T09:25:45.339050 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-01-26T09:25:45.339060 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2017-01-26T09:25:45.339070 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor/command.rb:27:in `run'
E, [2017-01-26T09:25:45.339081 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-01-26T09:25:45.339091 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-01-26T09:25:45.339154 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor.rb:369:in `dispatch'
E, [2017-01-26T09:25:45.339210 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor/base.rb:444:in `start'
E, [2017-01-26T09:25:45.339248 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-01-26T09:25:45.339291 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-01-26T09:25:45.339320 #63727] ERROR -- Kitchen: /usr/local/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/bin/kitchen:13:in `<top (required)>'
E, [2017-01-26T09:25:45.339331 #63727] ERROR -- Kitchen: /usr/local/bin/kitchen:22:in `load'
E, [2017-01-26T09:25:45.339342 #63727] ERROR -- Kitchen: /usr/local/bin/kitchen:22:in `<main>'
E, [2017-01-26T09:25:45.339352 #63727] ERROR -- Kitchen: ----End Backtrace-----
